ID	ENGLISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
1	One	1493	ONE
2	Two	1498	TWO
3	Three	492	THREE
4	Four	1500	FOUR
5	Five	493	FIVE
6	Six	1703	SIX
7	Seven	1704	SEVEN
8	Eight	1705	EIGHT
9	Nine	1483	NINE
10	Ten	1515	TEN
11	Eleven	1706	ELEVEN
12	Twelve	1707	TWELVE
13	Thirteen	1708	THIRTEEN
14	Fourteen	2451	FOURTEEN
15	Fifteen	1709	FIFTEEN
16	Sixteen	2454	SIXTEEN
17	Seventeen	2453	SEVENTEEN
18	Eighteen	1713	EIGHTEEN
19	Nineteen	1714	NINETEEN
20	Twenty	1710	TWENTY
21	Twenty One	1734	TWENTY ONE
22	Twenty two	3166	TWENTY TWO
23	Twenty three	3165	TWENTY THREE
24	Twenty four	1736	TWENTY FOUR
25	Twenty five	1738	TWENTY FIVE
26	Twenty six	3476	TWENTY SIX
27	Twenty seven	3477	TWENTY SEVEN
28	Twenty eight	3478	TWENTY EIGHT
29	Twenty nine	3479	TWENTY NINE
30	Thirty	1715	THIRTY
31	Thirty one	3480	THIRTY ONE
32	Thirty two	3481	THIRTY TWO
33	Thirty three	3482	THIRTY THREE
34	Thirty four	3483	THIRTY FOUR
35	Thirty five	3484	THIRTY FIVE
36	Thirty six	3485	THIRTY SIX
37	Thirty seven	3486	THIRTY SEVEN
38	Thirty eight	3487	THIRTY EIGHT
39	Thirty nine	3488	THIRTY NINE
40	Forty	1716	FORTY
41	Forty one	3556	FORTY ONE
42	Forty two	3557	FORTY TWO
43	Forty three	3489	FORTY THREE
44	Forty four	3490	FORTY FOUR
45	Forty five	3491	FORTY FIVE
46	Forty six	3558	FORTY SIX
47	Forty seven	3559	FORTY SEVEN
48	Forty eight	3492	FORTY EIGHT
49	Forty nine	3560	FORTY NINE
50	Fifty	1717	FIFTY
51	Fifty one	3561	FIFTY ONE
52	Fifty two	3562	FIFTY TWO
53	Fifty three	3493	FIFTY THREE
54	Fifty four	3563	FIFTY FOUR
55	Fifty five	3494	FIFTY FIVE
56	Fifty six	3564	FIFTY SIX
57	Fifty seven	3565	FIFTY SEVEN
58	Fifty eight	3566	FIFTY EIGHT
59	Fifty nine	3567	FIFTY NINE
60	Sixty	1718	SIXTY
61	Sixty one	3568	SIXTY ONE
62	Sixty two	3569	SIXTY TWO
63	Sixty three	3495	SIXTY THREE
64	Sixty four	3570	SIXTY FOUR
65	Sixty five	3571	SIXTY FIVE
66	Sixty six	3572	SIXTY SIX
67	Sixty seven	3573	SIXTY SEVEN
68	Sixty eight	3574	SIXTY EIGHT
69	Sixty nine	3575	SIXTY NINE
70	Seventy	1721	SEVENTY
71	Seventy one	3576	SEVENTY ONE
72	Seventy two	3496	SEVENTY TWO
73	Seventy three	3497	SEVENTY THREE
74	Seventy four	3577	SEVENTY FOUR
75	Seventy five	3578	SEVENTY FIVE
76	Seventy six	3579	SEVENTY SIX
77	Seventy seven	3580	SEVENTY SEVEN
78	Seventy eight	3581	SEVENTY EIGHT
79	Seventy nine	3582	SEVENTY NINE
80	Eighty	1722	EIGHTY
81	Eighty one	3583	EIGHTY ONE
82	Eighty two	3584	EIGHTY TWO
83	Eighty three	3498	EIGHTY THREE
84	Eighty four	3585	EIGHTY FOUR
85	Eighty five	3586	EIGHTY FIVE
86	Eighty six	3587	EIGHTY SIX
87	Eighty seven	3588	EIGHTY SEVEN
88	Eighty eight	3589	EIGHTY EIGHT
89	Eighty nine	3590	EIGHTY NINE
90	Ninety	1724	NINETY
91	Ninety one	3499	NINETY ONE
92	Ninety two	3591	NINETY TWO
93	Ninety three	3592	NINETY THREE
94	Ninety four	3593	NINETY FOUR
95	Ninety five	3594	NINETY FIVE
96	Ninety six	3500	NINETY SIX
97	Ninety seven	3595	NINETY SEVEN
98	Ninety eight	3596	NINETY EIGHT
99	Ninety nine	3501	NINETY NINE
100	Hundred	1634	HUNDRED
1000	Thousand	1843	THOUSAND
100000	Lakh	3532	ONE HUNDRED THOUSAND
1000000	One Million	3533	ONE MILLION
10000000	Crore	3597	TEN MILLION
1000000000	Billion	3599	BILLION
100	One Hundred	1634	ONE HUNDRED
200	Two Hundred	2676	TWO HUNDRED
300	Three Hundred	3513	THREE HUNDRED
400	Four Hundred	3515	FOUR HUNDRED
500	Five Hundred	3516	FIVE HUNDRED
600	Six Hundred	3517	SIX HUNDRED
1000	One Thousand	1843	ONE THOUSAND
2000	Two Thousand	3524	TWO THOUSAND
3000	Three Thousand	3525	THREE THOUSAND
4000	Four Thousand	3526	FOUR THOUSAND
5000	Five Thousand	3527	FIVE THOUSAND
6000	Six Thousand	3792	SIX THOUSAND
120	One Hundred Twenty	3504	ONE HUNDRED AND TWENTY
180	One Hundred Eighty	3510	ONE HUNDRED AND EIGHTY
221	Two Hundred Twenty One		TWO HUNDRED TWENTY ONE
506	Five Hundred Six		FIVE HUNDRED SIX
3048	Three Thousand Forty Eight		THREE THOUSAND FORTY EIGHT
6900	Six Thousand Nine Hundred		SIX THOUSAND NINE HUNDRED
7422	Seven Thousand Four Hundred Twenty Two		SEVEN THOUSAND FOUR HUNDRED TWENTY TWO
6008	Six Thousand Eight		SIX THOUSAND EIGHT
1234	Many	1198	MANY
